"","Station","group_id","Behavioral.category","group_sum","Site","Observer","RFID_DateTime","Treatment","Night","Station_Ammend","behave_sum","behave_prop","Haven","Region","Woylie_density"
"1709","NH47",6,"Other",73.128,"DNWS","TASH","2022-10-11 18:50:00","C",2,"NH47",4.564,0.0624111147576852,"Havened","Dryandra",1.185
"1710","NH59",6,"Other",28.314,"Dryandra_main","TASH","2022-10-19 21:55:00","C",3,NA,0,0,"Non-havened","Dryandra",1.39
"1711","NH64",6,"Other",57.553,"DNWS","TASH","2022-10-11 19:47:00","C",2,NA,0,0,"Havened","Dryandra",1.185
"1712","NH68",6,"Other",73.845,"Dryandra_main","TASH","2022-10-18 01:49:00","F",1,"NH68",2.369,0.0320807095944207,"Non-havened","Dryandra",1.39
"1713","WWF12",6,"Other",23.921,"DNWS","GRBL","2022-10-12 19:34:00","C",3,"WWF12",0.54,0.022574307094185,"Havened","Dryandra",1.185
"1714","WWF16",6,"Other",33.121,"DNWS","TASH","2022-10-11 21:19:00","F",2,"WWF16",2.921,0.0881917816491048,"Havened","Dryandra",1.185
"1715","WWF18",6,"Other",63.707,"DNWS","TASH","2022-10-11 21:19:00","F",2,"WWF18",19.091,0.299668796207638,"Havened","Dryandra",1.185
"1716","WWF21",6,"Other",18.992,"DNWS","TASH","2022-10-12 18:53:00","F",3,NA,0,0,"Havened","Dryandra",1.185
"1717","WWF4",6,"Other",44.64,"DNWS","GRBL","2022-10-12 22:54:00","F",3,"WWF4",0.8,0.017921146953405,"Havened","Dryandra",1.185
"1718","WWF6",6,"Other",202.752,"Dryandra_main","GRBL","2022-10-19 19:18:00","F",3,"WWF6",14.39,0.0709734059343434,"Non-havened","Dryandra",1.39
"1719","WWF9",6,"Other",69.786,"DNWS","GRBL","2022-10-11 23:16:00","F",2,"WWF9",0.25,0.00358238042014158,"Havened","Dryandra",1.185
"1720","BOY16",7,"Other",215.031,"Boyicup","TASH","2022-04-19 19:25:00","C",2,"BOY16",8.378,0.0389618241090819,"Non-havened","Upper_Warren",0.494
"1721","BOY7",7,"Other",13.346,"Boyicup","GRBL","2022-04-17 18:18:00","F",3,NA,0,0,"Non-havened","Upper_Warren",0.494
"1722","I16",7,"Other",73.24,"Perup_Sanctuary","TASH","2022-04-17 18:21:00","C",2,"I16",3.049,0.0416302566903332,"Havened","Upper_Warren",0.83
"1723","I19",7,"Other",19.871,"Perup_Sanctuary","TASH","2022-04-14 18:17:00","F",2,"I19",4.294,0.216093805042524,"Havened","Upper_Warren",0.83
"1724","J15",7,"Other",99.299,"Perup_Sanctuary","TASH","2022-04-20 18:24:00","C",2,"J15",8.466,0.0852576561697499,"Havened","Upper_Warren",0.83
"1725","K12",7,"Other",44.922,"Perup_Sanctuary","GRBL","2022-04-23 18:19:00","C",2,NA,0,0,"Havened","Upper_Warren",0.83
"1726","K14",7,"Other",1103.012,"Perup_Sanctuary","GRBL","2022-04-20 18:00:00","C",2,"K14",475.122,0.430749620131059,"Havened","Upper_Warren",0.83
"1727","MOO16",7,"Other",321.054,"Moopinup","GRBL","2022-04-18 21:16:00","C",2,"MOO16",2.166,0.00674652862135342,"Non-havened","Upper_Warren",0.346
"1728","MOO18",7,"Other",30.017,"Moopinup","GRBL","2022-04-18 20:55:00","C",2,"MOO18",1.775,0.0591331578772029,"Non-havened","Upper_Warren",0.346
"1729","MOO19",7,"Other",177.023,"Moopinup","GRBL","2022-04-19 18:18:00","F",3,"MOO19",1.277,0.00721375188534823,"Non-havened","Upper_Warren",0.346
"1730","MOO20",7,"Other",37.919,"Moopinup","GRBL","2022-04-19 18:31:00","C",3,"MOO20",6.701,0.176718795326881,"Non-havened","Upper_Warren",0.346
"1731","NH03",7,"Other",41.491,"DNWS","TASH","2022-10-12 19:48:00","C",3,NA,0,0,"Havened","Dryandra",1.185
"1732","NH12",7,"Other",59.967,"Dryandra_main","TASH","2022-10-19 19:42:00","C",3,"NH12",2.93,0.0488602064468791,"Non-havened","Dryandra",1.39
"1733","NH36",7,"Other",151.934,"DNWS","TASH","2022-10-11 18:58:00","C",2,"NH36",28.124,0.185106691063225,"Havened","Dryandra",1.185
"1734","NH42",7,"Other",9.448,"DNWS","TASH","2022-10-11 19:10:00","F",2,"NH42",1.46,0.154530059271804,"Havened","Dryandra",1.185
"1735","NH47",7,"Other",19.346,"DNWS","TASH","2022-10-11 18:59:00","C",2,"NH47",4.205,0.217357593300941,"Havened","Dryandra",1.185
"1736","NH64",7,"Other",30.661,"DNWS","TASH","2022-10-11 19:54:00","C",2,NA,0,0,"Havened","Dryandra",1.185
"1737","NH68",7,"Other",5.134,"Dryandra_main","TASH","2022-10-18 23:21:00","F",2,NA,0,0,"Non-havened","Dryandra",1.39
"1738","WWF12",7,"Other",18.638,"DNWS","GRBL","2022-10-12 19:52:00","C",3,"WWF12",0.274,0.0147011481918661,"Havened","Dryandra",1.185
"1739","WWF16",7,"Other",29.104,"DNWS","TASH","2022-10-11 21:22:00","F",2,"WWF16",1.687,0.0579645409565695,"Havened","Dryandra",1.185
